Variable,VIF
population_density,inf
population,inf
housing_pressure_index,1162.289932407122
population_growth_pct,1061.9875143182692
year,159.89834271171244
avg_weekly_earnings_gbp,117.90026943553934
cpi_index,113.9842196259206
gva_total_millions,78.4145500777051
decade,34.54905840294746
net_additions,24.549099217983507
month,18.7304352798887
quarter,17.65503451963012
cpi_yoy_pct,12.807318953384115
is_new_build,1.0071429889211312
price_to_annual_income,1.0013536714471363
base_rate_pct,0.0
owner_occupier_pct,0.0
