model,feature_set,mae_gbp,rmse_gbp,r2
OLS,A_structural,128328.0244920412,195786.55098943875,0.17911510226310823
Lasso,A_structural,128325.93672117678,195796.0653655641,0.1791094544046553
RandomForest,A_structural,127064.57763452835,193942.1913891336,0.1925124850526858
XGBoost,A_structural,127060.13853856303,193966.96305737892,0.19270041931422777
OLS,B_structural_demo,109876.54015557902,168781.48807164675,0.4130106690143036
Lasso,B_structural_demo,109857.52524277495,168783.75828825426,0.41300354183401433
RandomForest,B_structural_demo,96424.46492401973,153577.73307064114,0.5499649836173666
XGBoost,B_structural_demo,96344.83663939919,153490.4312089669,0.5507976471709735
OLS,C_full_integrated,103274.72524609718,161506.70863462635,0.4742737844681253
Lasso,C_full_integrated,103247.5360385218,161503.81216891797,0.4742678509680438
RandomForest,C_full_integrated,96437.5347130322,153598.46133810058,0.5497143788116128
XGBoost,C_full_integrated,96262.26880271018,153494.12368705106,0.5513701437367051
